"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 31, 2013","199.46","199.37","199.64","199.12","0.53K","0.06%"
"Jul 30, 2013","199.35","199.35","199.35","199.35","0.01K","0.05%"
"Jul 29, 2013","199.26","199.60","199.61","199.26","0.57K","-0.10%"
"Jul 26, 2013","199.45","199.35","199.60","199.35","0.06K","-0.04%"
"Jul 25, 2013","199.53","199.52","199.70","199.37","9.38K","-0.06%"
"Jul 24, 2013","199.64","199.67","199.90","199.45","0.84K","-0.14%"
"Jul 23, 2013","199.92","200.54","200.54","199.92","1.02K","-0.15%"
"Jul 22, 2013","200.22","200.16","200.22","200.00","0.13K","0.15%"
"Jul 19, 2013","199.93","200.20","200.20","199.85","0.40K","0.05%"
"Jul 18, 2013","199.84","199.49","199.90","199.49","9.28K","0.26%"
"Jul 17, 2013","199.33","199.11","199.56","198.93","0.16K","-0.01%"
"Jul 16, 2013","199.35","199.34","199.35","199.34","0.04K","0.09%"
"Jul 15, 2013","199.18","199.12","199.18","199.12","0.28K","0.04%"
"Jul 12, 2013","199.10","199.37","199.50","199.10","22.98K","0.13%"
"Jul 11, 2013","198.85","198.66","198.85","198.66","0.10K","-0.07%"
"Jul 10, 2013","198.99","199.31","199.31","198.99","0.81K","-0.22%"
"Jul 09, 2013","199.42","199.71","199.71","199.42","0.20K","0.07%"
"Jul 08, 2013","199.29","199.50","199.50","199.29","0.41K","0.24%"
"Jul 05, 2013","198.81","199.33","199.34","198.81","0.39K","-0.02%"
"Jul 04, 2013","198.85","198.20","199.13","197.89","0.30K","0.45%"
"Jul 03, 2013","197.96","198.09","198.38","197.72","0.47K","-0.23%"
"Jul 02, 2013","198.41","198.59","198.59","198.18","0.06K","0.23%"
"Jul 01, 2013","197.95","197.68","198.13","197.68","3.70K","0.27%"
"Jun 28, 2013","197.42","198.14","198.14","197.29","0.93K","0.03%"
"Jun 27, 2013","197.37","196.90","197.86","196.89","3.72K","0.49%"
"Jun 26, 2013","196.40","195.13","196.53","195.13","0.57K","0.57%"
"Jun 25, 2013","195.28","196.48","196.48","195.28","0.99K","0.01%"
"Jun 24, 2013","195.26","196.01","196.01","195.00","10.17K","-0.77%"
"Jun 21, 2013","196.77","197.19","197.62","196.77","0.28K","-0.26%"
"Jun 20, 2013","197.28","199.06","199.06","197.09","2.57K","-1.20%"
"Jun 19, 2013","199.67","199.28","199.67","199.20","0.00K","0.14%"
"Jun 18, 2013","199.39","199.83","199.83","199.39","0.53K","-0.15%"
"Jun 17, 2013","199.68","199.79","199.79","199.68","0.01K","0.05%"
"Jun 14, 2013","199.59","199.47","199.78","199.47","0.18K","0.15%"
"Jun 13, 2013","199.29","199.29","199.29","199.29","-","0.29%"
"Jun 12, 2013","198.71","198.53","198.71","198.53","0.28K","0.05%"
"Jun 11, 2013","198.61","198.58","198.93","198.58","0.27K","-0.40%"
"Jun 10, 2013","199.40","199.72","199.77","199.40","0.05K","-0.21%"
"Jun 07, 2013","199.81","199.81","199.81","199.81","0.01K","0.12%"
