Date,S&P 500,DD,<10,Shade
1979-04-03,102.4000015258789,-14.836989899237295,1,Same
1979-04-04,102.6500015258789,-14.629072397206688,1,Same
1979-04-05,103.26000213623047,-14.121753184640928,1,Same
1979-04-06,103.18000030517578,-14.188288308123987,1,Same
1979-04-09,102.87000274658203,-14.446103980197588,1,Same
1979-04-10,103.33999633789062,-14.055224406296485,1,Same
1979-04-11,102.30999755859375,-14.91184349944039,1,Same
1979-04-12,102.0,-15.169659171513983,1,Same
1979-04-16,101.12000274658203,-15.901526494411799,1,Same
1979-04-17,101.23999786376953,-15.80173015432582,1,Same
1979-04-18,101.69999694824219,-15.419162712006152,1,Same
1979-04-19,101.27999877929688,-15.768462592584298,1,Same
1979-04-20,101.2300033569336,-15.810042285907254,1,Same
1979-04-23,101.56999969482422,-15.527277528812167,1,Same
1979-04-24,102.19999694824219,-15.003327707944948,1,Same
1979-04-25,102.5,-14.753824167452779,1,Same
1979-04-26,102.01000213623047,-15.161340694793946,1,Same
1979-04-27,101.80000305175781,-15.335990635083018,1,Same
1979-04-30,101.76000213623047,-15.369258196824553,1,Same
1979-05-01,101.68000030517578,-15.435793320307612,1,Same
1979-05-02,101.72000122070312,-15.402525758566076,1,Same
1979-05-03,101.80999755859375,-15.327678503501597,1,Same
1979-05-04,100.69000244140625,-16.259144851709983,1,Same
1979-05-07,99.0199966430664,-17.648038587579762,1,Same
1979-05-08,99.16999816894531,-17.523286817333673,1,Same
1979-05-09,99.45999908447266,-17.28210175356154,1,Same
