,Portfolio
2013-04-04,144.39
2013-04-05,143.1
2013-04-06,143.1
2013-04-07,143.1
2013-04-08,143.54
2013-04-09,143.37
2013-04-10,144.37
2013-04-11,144.94
2013-04-12,144.85
2013-04-13,144.85
2013-04-14,144.85
2013-04-15,143.76
2013-04-16,143.82
2013-04-17,143.46
2013-04-18,143.25
2013-04-19,143.84
2013-04-20,143.84
2013-04-21,143.84
2013-04-22,144.3
2013-04-23,145.41
2013-04-24,145.78
2013-04-25,145.97
2013-04-26,145.83
2013-04-27,145.83
2013-04-28,145.83
2013-04-29,146.08
2013-04-30,146.09
2013-05-01,146.14
2013-05-02,146.66
2013-05-03,147.13
2013-05-04,147.13
2013-05-05,147.13
2013-05-06,147.1
2013-05-07,147.61
2013-05-08,147.72
2013-05-09,147.75
2013-05-10,148.29
2013-05-11,148.29
2013-05-12,148.29
2013-05-13,148.49
2013-05-14,149.01
2013-05-15,150.06
2013-05-16,149.83
2013-05-17,150.43
2013-05-18,150.43
2013-05-19,150.43
2013-05-20,150.52
2013-05-21,150.39
2013-05-22,149.88
2013-05-23,148.68
2013-05-24,148.45
2013-05-25,148.45
2013-05-26,148.45
2013-05-27,148.47
2013-05-28,149.15
2013-05-29,147.96
2013-05-30,147.56
2013-05-31,147.07
2013-06-01,147.07
2013-06-02,147.07
2013-06-03,146.15
2013-06-04,146.18
2013-06-05,144.93
2013-06-06,144.05
2013-06-07,144.71
2013-06-08,144.71
2013-06-09,144.71
2013-06-10,144.85
2013-06-11,143.75
2013-06-12,143.07
2013-06-13,143.38
2013-06-14,143.55
2013-06-15,143.55
2013-06-16,143.55
2013-06-17,144.29
2013-06-18,144.16
2013-06-19,143.95
2013-06-20,141.78
2013-06-21,141.18
2013-06-22,141.18
2013-06-23,141.18
2013-06-24,139.97
2013-06-25,140.76
2013-06-26,141.81
2013-06-27,143.07
2013-06-28,143.36
2013-06-29,143.36
2013-06-30,143.36
2013-07-01,144.16
2013-07-02,144.42
2013-07-03,143.92
2013-07-04,144.91
2013-07-05,145.44
2013-07-06,145.44
2013-07-07,145.44
2013-07-08,145.88
2013-07-09,146.92
2013-07-10,147.08
2013-07-11,147.3
2013-07-12,147.61
2013-07-13,147.61
2013-07-14,147.61
2013-07-15,148.08
2013-07-16,147.38
2013-07-17,147.63
2013-07-18,148.33
2013-07-19,148.14
2013-07-20,148.14
2013-07-21,148.14
2013-07-22,148.07
2013-07-23,147.75
2013-07-24,147.28
2013-07-25,147.25
2013-07-26,146.88
2013-07-27,146.88
2013-07-28,146.88
2013-07-29,146.81
2013-07-30,147.13
2013-07-31,147.48
2013-08-01,148.35
2013-08-02,148.6
2013-08-03,148.6
2013-08-04,148.6
2013-08-05,148.84
2013-08-06,148.21
2013-08-07,147.56
2013-08-08,147.27
2013-08-09,147.82
2013-08-10,147.82
2013-08-11,147.82
2013-08-12,147.95
2013-08-13,147.93
2013-08-14,147.74
2013-08-15,147.14
2013-08-16,145.86
2013-08-17,145.86
2013-08-18,145.86
2013-08-19,145.38
2013-08-20,144.95
2013-08-21,144.62
2013-08-22,145.34
2013-08-23,145.52
2013-08-24,145.52
2013-08-25,145.52
2013-08-26,145.64
2013-08-27,144.37
2013-08-28,144.15
2013-08-29,145.07
2013-08-30,144.48
2013-08-31,144.48
2013-09-01,144.48
2013-09-02,144.95
2013-09-03,145.24
2013-09-04,145.37
2013-09-05,145.65
2013-09-06,145.81
2013-09-07,145.81
2013-09-08,145.81
2013-09-09,146.29
2013-09-10,146.92
2013-09-11,146.93
2013-09-12,147.17
2013-09-13,147.72
2013-09-14,147.72
2013-09-15,147.72
2013-09-16,147.95
2013-09-17,148.08
2013-09-18,148.49
2013-09-19,148.71
2013-09-20,148.23
2013-09-21,148.23
2013-09-22,148.23
2013-09-23,148.11
2013-09-24,148.46
2013-09-25,148.31
2013-09-26,148.56
2013-09-27,148.36
2013-09-28,148.36
2013-09-29,148.36
2013-09-30,148.13
2013-10-01,148.57
2013-10-02,147.91
2013-10-03,147.34
2013-10-04,147.75
2013-10-05,147.75
2013-10-06,147.75
2013-10-07,147.33
2013-10-08,146.44
2013-10-09,146.43
2013-10-10,147.67
2013-10-11,148.28
2013-10-12,148.28
2013-10-13,148.28
2013-10-14,148.31
2013-10-15,148.76
2013-10-16,148.75
2013-10-17,149.18
2013-10-18,149.96
2013-10-19,149.96
2013-10-20,149.96
2013-10-21,150.21
2013-10-22,150.51
2013-10-23,150.35
2013-10-24,150.68
2013-10-25,150.62
2013-10-26,150.62
2013-10-27,150.62
2013-10-28,150.82
2013-10-29,151.08
2013-10-30,151.08
2013-10-31,151.59
2013-11-01,151.47
2013-11-02,151.47
2013-11-03,151.47
2013-11-04,152.07
2013-11-05,152.14
2013-11-06,151.89
2013-11-07,152.28
2013-11-08,152.53
2013-11-09,152.53
2013-11-10,152.53
2013-11-11,152.43
2013-11-12,152.15
2013-11-13,152.39
2013-11-14,153.09
2013-11-15,153.35
2013-11-16,153.35
2013-11-17,153.35
2013-11-18,153.23
2013-11-19,152.97
2013-11-20,152.88
2013-11-21,153.21
2013-11-22,153.15
2013-11-23,153.15
2013-11-24,153.15
2013-11-25,153.67
2013-11-26,153.59
2013-11-27,153.61
2013-11-28,153.55
2013-11-29,153.74
2013-11-30,153.74
2013-12-01,153.74
2013-12-02,153.64
2013-12-03,152.61
2013-12-04,152.54
2013-12-05,151.83
2013-12-06,152.08
2013-12-07,152.08
2013-12-08,152.08
2013-12-09,152.25
2013-12-10,151.83
2013-12-11,151.23
2013-12-12,150.56
2013-12-13,150.82
2013-12-14,150.82
2013-12-15,150.82
2013-12-16,151.22
2013-12-17,151.08
2013-12-18,151.57
2013-12-19,152.56
2013-12-20,153.05
2013-12-21,153.05
2013-12-22,153.05
2013-12-23,153.6
2013-12-24,153.63
2013-12-25,153.63
2013-12-26,153.71
2013-12-27,153.84
2013-12-28,153.84
2013-12-29,153.84
2013-12-30,154.07
2013-12-31,154.36
2014-01-01,154.36
2014-01-02,154.3
2014-01-03,154.84
2014-01-04,154.84
2014-01-05,154.84
2014-01-06,154.52
2014-01-07,154.84
2014-01-08,155.08
2014-01-09,154.75
2014-01-10,155.06
2014-01-11,155.06
2014-01-12,155.06
2014-01-13,155.0
2014-01-14,154.89
2014-01-15,155.67
2014-01-16,155.64
2014-01-17,155.74
2014-01-18,155.74
2014-01-19,155.74
2014-01-20,155.78
2014-01-21,155.98
2014-01-22,156.2
2014-01-23,155.09
2014-01-24,153.41
2014-01-25,153.41
2014-01-26,153.41
2014-01-27,152.21
2014-01-28,152.89
2014-01-29,152.54
2014-01-30,153.18
2014-01-31,153.32
2014-02-01,153.32
2014-02-02,153.32
2014-02-03,151.62
2014-02-04,151.49
2014-02-05,151.53
2014-02-06,152.16
2014-02-07,152.99
2014-02-08,152.99
2014-02-09,152.99
2014-02-10,153.22
2014-02-11,153.94
2014-02-12,154.5
2014-02-13,154.42
2014-02-14,154.8
2014-02-15,154.8
2014-02-16,154.8
2014-02-17,154.92
2014-02-18,155.01
2014-02-19,154.8
2014-02-20,154.95
2014-02-21,155.42
2014-02-22,155.42
2014-02-23,155.42
2014-02-24,156.06
2014-02-25,156.02
