"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 18, 2017","107.46","107.43","107.57","107.43","0.06K","-0.72%"
"Jul 17, 2017","108.24","108.27","108.33","108.27","0.11K","-0.14%"
"Jul 14, 2017","108.39","108.65","108.68","108.44","0.21K","-0.38%"
"Jul 13, 2017","108.80","108.71","108.71","108.71","0.10K","0.09%"
"Jul 12, 2017","108.70","108.19","108.74","108.19","0.22K","0.37%"
"Jul 11, 2017","108.30","108.51","108.51","108.51","0.05K","-0.36%"
"Jul 10, 2017","108.69","108.55","108.68","108.55","0.61K","0.14%"
"Jul 07, 2017","108.54","108.32","108.61","108.31","0.65K","0.18%"
"Jul 06, 2017","108.35","109.06","109.06","108.58","0.27K","-0.77%"
"Jul 05, 2017","109.19","109.09","109.26","109.09","0.23K","0.21%"
"Jul 04, 2017","108.96","109.16","109.16","109.16","0.12K","0.06%"
"Jul 03, 2017","108.90","108.72","108.91","108.72","0.11K","0.10%"
"Jun 30, 2017","108.79","108.71","108.75","108.69","0.21K","0.18%"
"Jun 29, 2017","108.59","108.82","108.82","108.71","0.12K","-0.80%"
"Jun 28, 2017","109.47","109.65","109.80","109.65","0.10K","-0.48%"
"Jun 27, 2017","110.00","110.13","110.18","110.13","0.10K","-1.11%"
"Jun 26, 2017","111.23","111.07","111.11","111.07","0.16K","0.05%"
"Jun 23, 2017","111.17","111.31","111.65","111.31","0.16K","-0.35%"
"Jun 22, 2017","111.56","111.53","111.62","111.53","0.15K","-0.09%"
"Jun 21, 2017","111.66","111.63","111.70","111.63","0.18K","-0.17%"
"Jun 20, 2017","111.85","111.45","111.50","111.45","0.12K","0.41%"
"Jun 19, 2017","111.39","111.25","111.37","111.25","0.14K","0.07%"
"Jun 16, 2017","111.31","111.40","111.46","111.38","1.11K","-0.29%"
"Jun 15, 2017","111.63","111.40","111.75","111.40","0.14K","0.83%"
"Jun 14, 2017","110.71","110.71","110.71","110.58","0.30K","-0.15%"
"Jun 13, 2017","110.88","110.86","110.87","110.77","0.23K","-0.09%"
"Jun 12, 2017","110.98","110.78","110.82","110.78","0.10K","-0.09%"
"Jun 09, 2017","111.08","111.39","111.39","111.25","0.24K","0.23%"
"Jun 08, 2017","110.82","110.77","110.91","110.77","0.63K","0.12%"
"Jun 07, 2017","110.69","110.63","111.15","110.63","0.31K","0.03%"
"Jun 06, 2017","110.66","110.80","110.80","110.63","0.13K","0.02%"
"Jun 05, 2017","110.64","110.52","110.69","110.52","0.30K","0.11%"
"Jun 02, 2017","110.52","110.80","110.85","110.80","0.18K","-0.25%"
"Jun 01, 2017","110.80","110.79","110.79","110.75","0.15K","0.14%"
"May 31, 2017","110.64","110.81","110.81","110.78","0.15K","-0.40%"
"May 30, 2017","111.08","111.23","111.41","111.09","12.93K","0.01%"
"May 29, 2017","111.07","111.05","111.17","111.03","0.88K","0.04%"
"May 26, 2017","111.03","110.70","111.12","110.64","0.50K","0.33%"
"May 25, 2017","110.67","110.64","110.71","110.64","0.09K","-0.15%"
"May 24, 2017","110.84","110.71","110.75","110.71","0.08K","0.41%"
"May 23, 2017","110.39","110.26","110.57","110.26","0.28K","-0.13%"
"May 22, 2017","110.53","110.32","110.37","110.32","0.09K","-0.30%"
"May 19, 2017","110.86","110.98","111.07","110.98","0.11K","-0.70%"
"May 18, 2017","111.64","111.70","111.71","111.68","0.32K","0.22%"
"May 17, 2017","111.39","111.62","111.62","111.51","0.17K","-0.42%"
"May 16, 2017","111.86","112.10","112.10","111.59","0.39K","-0.69%"
"May 15, 2017","112.64","112.63","112.68","112.63","0.13K","-0.54%"
"May 12, 2017","113.25","113.53","113.53","113.20","0.43K","-0.15%"
"May 11, 2017","113.42","113.52","113.52","113.40","0.35K","-0.09%"
"May 10, 2017","113.52","113.32","113.49","113.32","0.24K","0.25%"
