Date,Close,CBR
2012-11-27,1398.94,297.77
2012-11-28,1409.93,296.7
2012-11-29,1415.95,299.35
2012-11-30,1416.18,298.98
2012-12-03,1409.46,300.26
2012-12-04,1407.05,297.23
2012-12-05,1409.28,297.94
2012-12-06,1413.94,295.91
2012-12-07,1418.07,294.7
2012-12-10,1418.55,293.22
2012-12-11,1427.84,293.84
2012-12-12,1428.48,295.19
2012-12-13,1419.45,292.7
2012-12-14,1413.58,294.89
2012-12-17,1430.36,295.54
2012-12-18,1446.79,295.59
2012-12-19,1435.81,295.62
2012-12-20,1443.69,294.49
2012-12-21,1430.15,294.13
2012-12-24,1426.66,293.06
2012-12-26,1419.83,295.73
2012-12-27,1418.1,295.55
2012-12-28,1402.43,294.78
2012-12-31,1426.19,295.01
2013-01-02,1462.42,297.54
2013-01-03,1459.37,295.65
2013-01-04,1466.47,294.13
2013-01-07,1461.89,295.23
2013-01-08,1457.15,294.61
2013-01-09,1461.02,293.97
2013-01-10,1472.12,296.53
2013-01-11,1472.05,296.66
2013-01-14,1470.68,298.12
2013-01-15,1472.34,297.63
2013-01-16,1472.63,298.2
2013-01-17,1480.94,300.33
2013-01-18,1485.98,301.2
2013-01-22,1492.56,301.5
2013-01-23,1494.81,300.6
2013-01-24,1494.82,300.42
2013-01-25,1502.96,299.31
2013-01-28,1500.18,300.19
2013-01-29,1507.84,301.83
2013-01-30,1501.96,304.75
2013-01-31,1498.11,303.99
2013-02-01,1513.17,305.07
2013-02-04,1495.71,302.91
2013-02-05,1511.29,304.14
2013-02-06,1512.12,302.91
2013-02-07,1509.39,300.95
2013-02-08,1517.93,301.06
2013-02-11,1517.01,300.71
2013-02-12,1519.43,300.63
2013-02-13,1520.33,300.56
2013-02-14,1521.38,299.67
2013-02-15,1519.79,298.45
2013-02-19,1530.94,298.38
2013-02-20,1511.95,296.59
2013-02-21,1502.42,293.13
2013-02-22,1515.6,293.52
2013-02-25,1487.85,293.81
2013-02-26,1496.94,293.23
2013-02-27,1515.99,292.9
2013-02-28,1514.68,292.95
2013-03-01,1518.2,290.36
2013-03-04,1525.2,290.72
2013-03-05,1539.79,291.58
2013-03-06,1541.46,289.84
2013-03-07,1544.26,292.73
2013-03-08,1551.18,294.38
2013-03-11,1556.22,294.73
2013-03-12,1552.48,295.7
2013-03-13,1554.52,294.8
2013-03-14,1563.23,296.26
2013-03-15,1560.7,296.44
2013-03-18,1552.1,294.45
2013-03-19,1548.34,293.13
2013-03-20,1558.71,294.94
2013-03-21,1545.8,294.05
2013-03-22,1556.89,294.7
2013-03-25,1551.69,294.7
2013-03-26,1563.77,296.72
2013-03-27,1562.85,298.17
2013-03-28,1569.19,296.39
2013-04-01,1562.17,294.59
2013-04-02,1570.25,293.52
2013-04-03,1553.69,289.77
2013-04-04,1559.98,288.47
2013-04-05,1553.28,288.28
2013-04-08,1563.07,289.18
2013-04-09,1568.61,290.99
2013-04-10,1587.73,290.79
2013-04-11,1593.37,289.94
2013-04-12,1588.85,287.21
2013-04-15,1552.36,280.93
2013-04-16,1574.57,283.23
2013-04-17,1552.01,280.88
2013-04-18,1541.61,282.9
2013-04-19,1555.25,283.19
2013-04-22,1562.5,282.8
2013-04-23,1578.78,280.99
2013-04-24,1578.79,282.9
2013-04-25,1585.16,287.13
2013-04-26,1582.24,285.4
2013-04-29,1593.61,289.44
2013-04-30,1597.57,288.13
2013-05-01,1582.7,283.27
2013-05-02,1597.59,286.69
2013-05-03,1614.42,290.17
2013-05-06,1617.5,290.05
2013-05-07,1625.96,288.99
2013-05-08,1632.69,290.79
2013-05-09,1626.67,291.45
2013-05-10,1633.7,288.68
2013-05-13,1633.77,288.77
2013-05-14,1650.34,287.67
2013-05-15,1658.78,286.53
2013-05-16,1650.47,286.25
2013-05-17,1667.47,287.6
2013-05-20,1666.29,288.78
2013-05-21,1669.16,287.92
2013-05-22,1655.35,286.33
2013-05-23,1650.51,286.03
2013-05-24,1649.6,284.89
